Datetime,target_volatility
2020-07-01 15:30:00,30.81
2020-07-01 16:00:00,28.59
2020-07-02 09:30:00,28.59
2020-07-02 10:00:00,28.59
2020-07-02 10:30:00,28.59
2020-07-02 11:00:00,28.59
2020-07-02 11:30:00,28.59
2020-07-02 12:00:00,28.59
2020-07-02 12:30:00,28.59
2020-07-02 13:00:00,28.59
2020-07-02 13:30:00,28.59
2020-07-02 14:00:00,28.59
2020-07-02 14:30:00,28.59
2020-07-02 15:00:00,28.59
2020-07-02 15:30:00,28.59
2020-07-02 16:00:00,29.04
2020-07-06 09:30:00,29.04
2020-07-06 10:00:00,29.04
2020-07-06 10:30:00,29.04
2020-07-06 11:00:00,29.04
2020-07-06 11:30:00,29.04
2020-07-06 12:00:00,29.04
2020-07-06 12:30:00,29.04
2020-07-06 13:00:00,29.04
2020-07-06 13:30:00,29.04
2020-07-06 14:00:00,29.04
2020-07-06 14:30:00,29.04
2020-07-06 15:00:00,29.04
2020-07-06 15:30:00,29.04
2020-07-06 16:00:00,30.68
2020-07-07 09:30:00,30.68
2020-07-07 10:00:00,30.68
2020-07-07 10:30:00,30.68
2020-07-07 11:00:00,30.68
2020-07-07 11:30:00,30.68
2020-07-07 12:00:00,30.68
2020-07-07 12:30:00,30.68
2020-07-07 13:00:00,30.68
2020-07-07 13:30:00,30.68
2020-07-07 14:00:00,30.68
2020-07-07 14:30:00,30.68
2020-07-07 15:00:00,30.68
2020-07-07 15:30:00,30.68
2020-07-07 16:00:00,29.62
2020-07-08 09:30:00,29.62
2020-07-08 10:00:00,29.62
2020-07-08 10:30:00,29.62
2020-07-08 11:00:00,29.62
2020-07-08 11:30:00,29.62
2020-07-08 12:00:00,29.62
2020-07-08 12:30:00,29.62
2020-07-08 13:00:00,29.62
2020-07-08 13:30:00,29.62
2020-07-08 14:00:00,29.62
2020-07-08 14:30:00,29.62
2020-07-08 15:00:00,29.62
2020-07-08 15:30:00,29.62
2020-07-08 16:00:00,31.37
2020-07-09 09:30:00,31.37
2020-07-09 10:00:00,31.37
2020-07-09 10:30:00,31.37
2020-07-09 11:00:00,31.37
2020-07-09 11:30:00,31.37
2020-07-09 12:00:00,31.37
2020-07-09 12:30:00,31.37
2020-07-09 13:00:00,31.37
2020-07-09 13:30:00,31.37
2020-07-09 14:00:00,31.37
2020-07-09 14:30:00,31.37
2020-07-09 15:00:00,31.37
2020-07-09 15:30:00,31.37
2020-07-09 16:00:00,29.46
2020-07-10 09:30:00,29.46
2020-07-10 10:00:00,29.46
2020-07-10 10:30:00,29.46
2020-07-10 11:00:00,29.46
2020-07-10 11:30:00,29.46
